premise,hypothesis,category,label
باغین از آبادی‌های قدیم نزدیک شهر کرمان است.,باغین نام یک آبادی نزدیک شهر کرمان است که محصول اصلی آن زیره و شیرینیهای مخصوص کرمانی است. ,natural-wiki,0
دیگر روایاتی که پیرامون اقدامات طغرل بیان شده، بازسازی ابنیه و عمارات اصفهان پس از حمله به آن شهر و تخریب آن است، که حتی نظر ناصرخسرو را نیز جلب کرده و بیان کرده که نام طغرل را بر دروازهٔ شهر خان لنجان، واقع در هفت فرسنگی اصفهان، حک نمودند و مردم نیز به اصفهان بازگشتند.,از اقدامات طغرل تخریب بنا‌ها و عمارات تاریخی اصفهان پس از حمله به آن شهر است.,natural-wiki,2
 نرخ مشارکت اقتصادی در کل کشور 11.8 درصد به دست آمده است.,نرخ بیکاری جمعیت 10 ساله و بیشتر‌در کل کشور 11.8 درصد به دست آمده است.,natural-miras,1
در عوض ، پرداخت یارانه توسط صندوق اعتماد انجام شد.,پرداختی انجام نشد.,translation-train,2
قلعه در ۲۲ ژوئن سقوط کرد اما روز قبل از آن در ۲۱ ژوئن در طی حادثه معبد هوننو در کیوتو نوبوناگا مجبور به خودکشی اجباری شده بود.,هوننو در کیوتو نوبوناگا  در طی حادثه معبد زنده ماند.,natural-wiki,2
اخلاق هندو می گوید که راه رستگاری شامل سه مولفه است: عدالت ، کامیابی که صادقانه حاصل شود و لذت.,راه صادقانه رسیدن به کامیابی در متون هندو نوشته شده است.,translation-train,1
گرچه فیلم موفق بود اما نقش او در این میان نادیده گرفته شد.,در سال ۱۹۴۹ در فیلم اسکاری نامه‌ای به سه همسر ظاهر شد.,natural-wiki,1
عصر روز سوم شهریور و در حالی که پیشروی قوای بریتانیا و شوروی در شمال و جنوب خاک ایران ادامه داشت، رجبعلی منصور با مشاهده بحرانی بودن اوضاع تصمیم به استعفاء گرفت.,رجبعلی منصور به تلاش های خود برای کنترل اوضاع ادامه داد.,natural-wiki,2
ببین ، یک دلاور شهره در اینجا وجود دارد.,ببینید ، یک قهرمان مشهور در اینجا وجود دارد.,translation-dev,0
اما دوران موفقیت‌آمیز رایکوف با تاج ادامه نیافت و در جام تخت جمشید ۱۳۵۴ تاج به مقام چهارمی بسنده کرد.,او در جام تخت جمشید نایب قهرمان شد.,natural-wiki,2
بله بله این چیز خوبی است که آنها هیچ تبلیغاتی انجام نمی دهند که واقعاً خوب است که فقط موسیقی است.,خوب است ، فقط موسیقی است و هیچ تبلیغی نیست ، اما دی جی زیاد حرف میزند.,translation-train,1
پس از کشتن هیولاها سلاحهایشان را در اینجا و آنجا رها کرده اند که میشود آنها را در سراسر دنیا پیدا کرد و با استفاده از موادی که باید از بیرون خرید آنها را به میل خود تغییر داد. ,کشتن این موجودات خیلی کار سختی نیست.,natural-wiki,0
سپس او دوید.,او مانند یک ورزشکار دوید.,translation-dev,1
ریپس به اندازه کافی به دلیل پذیرش سند تکذیب خشمگین شد که وی وکیلی را گرفت،  که به مجله توصیه کرد که اتهامات موجود در مقاله منتشر شود ...,ریپس با پذیرش انکار و رفتار بی تفاوت آنها عصبانی شد ، بنابراین وی وکیلی گرفت که به مجله توصیه کند که اتهامات مربوط به آنها را انتشار دهند ...,translation-train,1
پرنیلامین,احتمالاً یک داروی ضد حساسیت است. ,natural-wiki,1
... رومن ، که شما تجربه زیادی در زمینه ارتباطات دارید.,رومن تجربه زیادی دارد.,translation-train,0
خوب او اهل کشوری است که صنعت قوی دارد.,او اهل اروپای شرقی بود.,translation-train,1
لینک‌های نرم محدودیت‌های لینک‌های سخت را نداشته و بنابراین آنها می‌توانند به دایرکتوری‌ها و حتی فایل‌های موجود در یک سیستم فایل دیگر رجوع کنند.,لینک‌های سخت نمی‌توانند به فایل‌های سیستم فایل دیگر رجوع کنند.,natural-wiki,0
سویا ممکن است سطح قندخون را پایین بیاورد پس افراد دیابتی یا کسانیکه قندخون پایینی دارند باید با احتیاط آن را مصرف کنند.,مصرف غلات برای کنترل قند خون مفید است.,natural-wiki,1
کارکیا سید احمد بن علی (حکومت: ۹۴۳–۹۷۵ و ۹۸۵–۱۰۰۰) به دستور شاه تهماسب مذهب اثنی عشری را جایگزین زیدیه کرد ولی وقتی شروع به توطئه با عثمانیان کرد و خواست برای حمله به قزوین به شیروان و لاهیجان سرباز بفرستند از چشم شاه افتاد.,توطئه با عثمانیان و فرستادن سرباز به شیروان و لاهیجان برای حمله به قزوین توسط کارکیا سید احمدبن علی، باعث شد از چشم شاه تهماسب بیفتد.,natural-wiki,0
آقای عباس خواستاراعلامیه ای کوتاه است که وضعیت بیت المقدس، آوارگان فلسطینی ومرزهای نهائی را مورد توجه قراردهد.,آقای عباس خواستاراعلامیه ای جامع است که وضعیت بیت المقدس، آوارگان فلسطینی ومرزهای نهائی را مورد توجه قراردهد.,natural-voa,2
من سعی می کنم به یکی از کسانی که توسط اتحادیه اعتباری حمایت مالی شده اند تغییر دهم اگرچه به نظر می رسد سود بسیار کمی داشته باشد.,من سعی کردم به یکی از بانک مرکزی آمریکا تغییر دهم.,translation-train,2
تعدادی از مردم در تونل گرفتارشدند 9 تير 1396 ساعت 19:00 تعدادی از مردم در این تونل در شهرستان لرستان گرفتارشده‌اند اما هنوز اطلاع دقیقی از تلفات این تونل در دست نیست.,پلیس ترافیک رفت آمد در جاده را ممنوع کرد.,natural-miras,1
کوه زیبد یکی از قله‌های مرتفع رشته کوه سیاه کوه یا قُهستان است.,سرسبزی رشته کوه های قهستان مثال زدنی است.,natural-wiki,1
همچنین یک موزه باستان شناسی وجود دارد که یادگارهای قدیمی تری را به نمایش می گذارد ، از جمله نمونه هایی از سفال های میکانا.,این موزه کاملاً خالی است و هیچ چیز در آن نیست.,translation-train,2
بعضی چارلز هنری سانسون را به عنوان یک مرد سادیست نگاه می‌کنند اما در واقع او همیشه از کارش لذت نمی‌برد.,روانشناسی لایه ها و بخشهایی دارد که خیلی پیچیده و بغرنج هستند. ,natural-wiki,1
پس از انقلاب ۱۸۶۸ اسپانیا ایزابلای دوم خلع‌شد، یک دولت موقت و یک نیابت سلطنت تحت فرمان فرانسیسکو سرانو ای دومینگس ایجاد شد، که به‌عنوان رئیس کشور عمل می‌کرد، از ۸ اکتبر ۱۸۶۸ تا ۴ دسامبر ۱۸۷۰ هنگامی که از او برای عنوان فرمانروای جدید خواسته‌شد.,ایزابلای دوم تا ۴ دسامبر ۱۸۷۰ به عنوان رئیس کشور عمل می‌کرد.,natural-wiki,2
مقامات ارتش اسرائيل می گويند سربازان پس از آن که مورد حمله مردان مسلح فلسطينی در اردوگاه قرار گرفتند، تيراندازی کردند و درباره اين حادثه تحقيق می کنند.,اسراییل تحقیقات راجع به تیراندازی را شروع کرد.,natural-voa,0
خبرگزاری عربستان سعودی گزارش می دهد ملک فهد در بيمارستان بستری شده است، اما حال او در پی آزمايشات پزشکی رضايتبخش است.,ملک فهد در بيمارستان بستری است اما حلش رضايت بخش است,natural-voa,0
تصویر غیر سازگار ملکه زشت ماریانا از اتریش بدست ولازکوز با  تصویر مسیح عارف عظیم بدست ال گرسو در کروس ریبرا، افراد موجود در کلاب پا را خنداند.,ال گرسو یک نقاش بسیار مشهور اسپانیایی بود که کارهای او اغلب مذهبی بودند.,translation-train,1
به مجموع قوه قانون‌گذاری اسپانیا یعنی هر دو مجلس «شورای عالی» یا کرتس خنرالس گفته می‌شود.,اسپانیا یک پادشاهی مشروطه می‌باشد که در آن سلطنت موروثی است و دارای دو مجلس قانون‌گذاری است.,natural-wiki,0
اجازه دهید من از شما بپرسم آیا هنوز کاتالوگ یا چیزی از این افراد بدست آورده اید,آیا آن افراد چیزی برای شما ارسال کردند؟,translation-train,1
بودا که در قدیم، پایتخت پادشاهی مجارستان بود، در ۱۷ نوامبر ۱۸۷۳ با پست و اُبودا ادغام شد و شهر بوداپست از آن پس رسماً شکل گرفت.,بوداپست از ترکیب شهرهایی در مجارستان پدید آمد. ,natural-wiki,0
جو پس از ورود به کارخانه پاک و تمیز می‌شود.,پس از آن نوبت به انجام عملیات تخمیر میرسد که نیازمند کار بیشتریست.,natural-wiki,1
اما وقتی بودجه در یک یا دو سال مصرف شود ، یا وقتی رکود بعدی فرا رسد ، رأی دهندگان مستقیما نقش تحلیلگران بودجه و حسابرسان مالیات را بازی می کنند.,بودجه اختصاص داده شده احتمالاً در کمتر از دو سال هزینه خواهد شد.,translation-dev,0
دست کم پنجاه و شش نفر از مسافران هواپيمای لوفت هانزائی که روز پنجشنبه پس از پرواز از فرانکفورت در فرودگاه برکسل به زمين نشست حاضر نشدند هواپيما را ترک کنند.,بیش از پنجاه نفر از مسافران حاضر به ترک هواپیما نمی‌شدند.,natural-voa,0
اما دولتهای ائتلافی اخیر ، مانند دولت در بریتانیا بیشتر دارای سیستم های دو حزبی هستند تا چند حزبی.,سیستم پارلمان بریتانیا اخیرا باعث شده است احزاب اصلی متعددی به وجود آیند.,natural-wiki,1
یک استاندارد گزارشی اضافی برای ممیزی های مالی که مطابق با GAGAS انجام می شود,استانداردهای گزارشگری اضافی برای حسابرسیهای مالی وجود دارد.,translation-train,0
من دوست دارم، آهدر مورد یه چیزی فکر می کنم چیزی مثل ماشین اسپورتولی می دونید نه یه ماشین اسپورت لاکچریولی ام... ,من در مورد یک ماشین بسیار کاربردی، معمولی فکر می کنمو حتی می تونه یه ماشین لاکچری هم باشه.,translation-train,2
"آب چندین چشمهٔ بزرگ ""دث ولی"" از سفرۀ ‌آب محلی تأمین می‌شود، که از شرق تا جنوب نوادا و یوتا کشیده شده‌ است.",سفره های آب محلی آب چشمه های زیادی را در نوادا تامین میکنند. ,natural-wiki,0
ما به طور واضح و بی تردیدی، تهدید شدیم.,شرایط بسیار عادلانه بود و ما بیشتر از این نمی توانستیم درباره ی آن مطمئن باشیم.,translation-train,2
بله این یک فیلم بسیار جالب است و دارای دیدگاه های تاریخی خوبی است.,تصور می شد این فیلم الهام بخش باشد و نکات خوبی را دربرداشته باشد.,translation-train,1
نقاشانی که به تعامل نور با مدل‌ها و محیط اطرافشان اهمیت بسزایی می‌دادند.,نقش نور در نقاشی شان بسیار مهم بود.,natural-wiki,0
فروشگاههای انفرادی صنعتگران دیگر در اینجا نیستند ، اما می توانید از یک کارخانه ابریشمبافی ، یک کارخانه سرامیک و استودیوی هنری فولس Foshan بازدید کنید ، که در چنین جاهایی می توانید کارگرانی را که در حال ساخت فانوس های چینی ، حک کردن مجسمه ها ، پیمایش های نقاشی و برش طرح های پیچیده هستند، مشاهده کنید.,کارگران مجسمه سازی می کنند و کتیبه ها را با شور و شوق زیادی نقاشی می کنند.,translation-train,1
نه نه من نیو انگلند، ماساچوست هستم,نه من در غرب ، نیومکزیکو هستم.,translation-train,2
در نگاه تامی ، چشمان جولیوس طوری به نظر می رسید که داشتند از سر او بیرون می آمدند.,جولیوس به محض دیدن تامی که از در در حال عبور است ، برگشت و از آنجا دور شد.,translation-train,2
از جمله مسابقات آیتمی می‌توان به مسابقات قوی‌ترین مردان جهان، پاورلیفتینگ، پرس‌سینه و مچ اندازی اشاره کرد.,بعد از جنگ ایران و عراق این مسابقات را میشد بوفور از تلوزیون دید که تماشاچیان بسیاری هم داشت. ,natural-wiki,1
هیچ پنجره ای وجود نداشت ، که به نظر مشکوک می رسید.,دو در وجود داشت.,translation-train,1
پیراهن ساده سفید و یا راه‌راه مردانه با این نوع از کفش‌ها و مدل مو مناسب هستند.,شما می توانید پیراهن های راه راه سفید بپوشید.,translation-train,0
اما پرزيدنت بوش هميشه احساس کرده است که سازمان ملل متحد نقشی حياتی دارد.,سازمان ملل متحد اهداف متفاوتی را دنبال می کند.,natural-voa,1
اگر عاشق قهوه ایتالیایی شده اید ، چرا یک دستگاه اسپرسو کوچک یا بسته ای از دانه‌ی بوداده شده‌ی قهوه را خریداری نمی کنید؟,متأسفانه بدون کمک دیگران راهی برای تهیه اسپرسو وجود ندارد.,translation-train,2
اما برخی از دمکرات ها می گويند اين کار بايد مدت ها پيش انجام می گرفت.,دموکرات‌ها می‌گویند اکنون زمان  اجرای این برنامه است.,natural-voa,2
در ۶ ژوئیه مخروط‌های شمالی در ۱۸ کیلومتری جنوب غربی پلوسکی تولباچیک شروع به شکل‌گیری نمود و با گذشت ۷۲ روز، سه مخروط بزرگ و شماری از جریان‌های گدازه شکل گرفته بودند.,در 6 ژوئیه مخروط های شمالی در شمال پلوسکی تولباچیک شکل گرفته بود.,natural-wiki,2
این خورشیدگرفتگی در تاریخ ۲۰ ژوئیه ۱۹۴۴ میلادی روی داد که زمان اوج آن، ساعت ۵:۴۳:۱۳ به ‌وقت ساعت هماهنگ جهانی بوده‌است.,خورشیدگرفتکی سال ۱۹۴۴ در ماه ژوئن بود.,natural-wiki,0
آقای بلو می گوید سناتور بلومنتال ادعا كرد كه كلینتون به او گفته است كه لوینسكی پیشنهادهای جنسی به او داده است.,کلینتون گفت که مونیکا لوینسکی در زمان حضور خود به عنوان روزنامه نگار در کاخ سفید ، پیشنهادهای جنسی به داده است.,translation-dev,1
بخش بخش شدن سیستم نظارتی برای حرفه حسابداری عمومی با قانون Sarbanes-Oxley مصوب سال ۲۰۰۲ مورد بررسی قرار نگرفت.,بخش بخش شدن نتیجه عمل قبلی بود.,translation-train,1
نظرات در مورد گزارش های طبقه بندی شده یا محدود باید به روشی که توافق شده توسط گائو و آژانس تایید شده، منتقل شود.,روشهای انتقال خاص برای گزارشهای طبقه بندی شده وجود دارد.,translation-train,0
این بیماری مقاوم به الکل، بتادین، اشعه یونیزه، رادیو اکتیو وانواع ضدعفونی‌کنندهاست و همچنین در دمای حداقل ۲۰۰ سانتیگراد نیز از بین نمی‌رود بنابراین با خوردن گوشت آلود شخص نیز آلوده می‌شود.,برای جلوگیری از این بیماری باید با الکل سطوح را ضدعفونی کرد و یا از پختن در دمای ۲۰۰ درجه سانتیگراد استفاده کرد.,natural-wiki,2
ایسینبایوا در سال ۲۰۰۲ در ردهٔ بزرگسالان با پرش ۴٫۵۵متری خود پس از پرندهٔ هموطنش سوتلانا فئوفانوا مدال نقرهٔ قهرمانی دو و میدانی اروپا را گرفت. ر سال ۲۰۰۳ با گذر از مانع ۴٫۶۵ متری قهرمان مسابقات زیر ۲۳ سال اروپا شد و در ۱۳ ژوئیه ۲۰۰۳ با پریدن از فراز ۴٫۸۲ متر برای بار نخست رکورد دنیا را شکست، اما وی کم تجربه بود., کم‌تجربگی‌اش بعضا موجب می شد تا در مسابقات قهرمانی مدالی پایین تر از طلا کسب کند.,natural-wiki,0
در ژانویه هر سال ، LSC فرم بررسی پرونده را توزیع می کند.,فرم بررسی پرونده در ژانویه فقط  پس از جمع بندی سال گذشته منتشر می شود.,translation-train,1
گرچه فیلم موفق بود اما نقش او در این میان نادیده گرفته شد.,او نقش برجسته ای در فیلم داشت.,natural-wiki,2
اين حمله که در جريان آن، به گفته پليس، يک افسر ارتش هند نيز کشته شد، يک روز پس از آن صورت گرفت که کميسر انتخاباتی هند از رای دهندگان در کشمير هند خواست علی رغم پيشنهاد گروه های جدائی خواه برای تحريم رای گيری، در انتخابات سراسری شرکت کنند.,انتخابات سراسری با دخالت پلیس و ارتش هند، برگزار نشد.,natural-voa,1
ناشران تجارت ۵ درصد كتاب كمتر از سال گذشته به فروش رساندند.,نرخ فروش ناشر تجارت در مقایسه با سال گذشته در حال افزایش است.,translation-train,2
موتوس (دهانه) یک دهانه برخوردی در ماه است.,یک دهانه برخوردی در ماه به نام موتوس کشف شد,natural-wiki,1
با توجه به فرضیات و محرک های اقتصادی در هر یک از سناریوها ، مدل AMIGA سرمایه گذاری ، بهره برداری و نگهداری و هزینه های سوخت مورد نیاز برای تأمین تقاضای برق برای مصرف کننده را محاسبه می کند.,مدل AMIGA سرمایه گذاری را پیدا می کند.,translation-train,0
این صحرای پهناور در منطقۀ شرقی واقع شده‌است.,عمان یکی از کشورهای موفق دنیای عرب است. ,natural-wiki,1
همه جزایر اکنون به طور رسمی و با افتخار بخشی از فرانسه هستند ، نه مستعمره هایی که در حدود سه قرن گذشته بوده اند.,جزایر اکنون بخشی از از فرانسه هستند و دیگر مستعمره نیستند.,translation-dev,0
یک مسیر باریک سنگفرش ۵۸۷ پله ای از شهر به سمت بندر کوچک در پایین، که در حال حاضر محل گروهی از الاغ‌هایی است که منتظر هستند تا مسافران مسافر کشتی را به داخل شهر منتقل کنند، منتهی می شود.,یک ناوگان الاغ مسافرانی را از این شهر به بندر منتقل می کنند.,translation-train,0
چندی پیش یک قلاده توله ببر بنگال در خیابان امامت مشهد مشاهده و فیلم آن در شبکه های اجتماعی و فضای مجازی انتشار یافت و با اقدام سریع اداره کل حفاظت محیط زیست خراسان رضوی ظرف کمتر از 48 ساعت ردیابی محل فیلمبرداری محقق شد.,موقعیت چند قلاده توله ببر در خیابان‌های مشهد نامشخص است.,natural-miras,2
(برای اطلاعات بیشتر در مورد برنامه های عملکرد اجرایی ارشد BLM ، به برنامه مراجعه کنید.,برنامه های عملکرد BLM بصورت آنلاین قابل مشاهده است.,translation-dev,0
پوستر ، پرتره ، نقوش برجسته., کف و دیوارها لخت و خالی بود.,translation-train,2
قانون نهایی شامل ارزیابی فدرالیسم تحت دستورالعمل اجرایی است,قانون نهایی یک ارزیابی فدرالیسم داشت که از طریق رئیس جمهور توسط دستور اجرایی اضافه شد.,translation-dev,1
اما پال برمر، مدير آمريکايی عراق می گويد از تشکيل شورا خوشنود است.,پال برمر، مدیر آمریکایی عراق است,natural-voa,0
دو شوت بعدی او در سینه های دو سوار که چوب های بلند تیغه داری را حمل میکردند، فرود آمد.,او سواران را کاملاً از دست داد.,translation-train,2
پس از آبیاری بگذارید تا آب از زیر گلدان خارج شده و سپس زیر گلدانی را نیز از آب خالی کنید.,برای نگهداری این گیاه باید گلدانتان طوری باشد که آب از زیر آن خارج شود و زیر آن خشک باشد. ,natural-wiki,0
زمان سقوط هواپیما را با جزئیات روشن توصیف می کند (درست به بیگانه ای که کمک های اولیه به یک همکار زخمی ارائه می دهد) ، سپس می گوید که فضاپیمای سقوط کرده بدون شک یک بالون نظامی بوده است.,زمان عمدا خواننده را گمراه می کند تا به داستان بیگانه اعتقاد داشته باشد.,translation-train,1
در سال ۱۹۷۱ این مقام رسماً از «استادی کاوندیش فیزیک تجربی» به«استادی کاوندیش فیزیک» تغییر نام داد.,"در حال حاضر نام این مقام ""استادی کاوندیش فیزیک"" است.",natural-wiki,0
تپه قلا خرنه مربوط به دوران‌های تاریخی پس از اسلام است و در شهرستان دورود، بخش مرکزی، روستای حشمت آباد واقع شده و این اثر در تاریخ با شمارهٔ ثبت ۱۱۷۲۳ به‌عنوان یکی از آثار ملی ایران به ثبت رسیده است.,حکومتها می آیند و میروند و دستاوردهای مردم است که برجای میمانند.,natural-wiki,1
ما قتل در چشمان آنها و خون روی دست آنها را دیدیم.,ما خون در دستان پلید و قتل در چشمان شیطانی آنها دیدیم.,translation-train,1
علاوه بر این، بازآرایی به ما کمک می کند تا ظرفیت بلندمدت خودمان را با بهبود به کارگیری و نگهداری؛ ایجاد برنامه ریزی متوالی، تمرکز بر موضوعات نوظهور و تحکیم فرصت های فناوری برای بهبودی مشتری ها، فرآیندها و کارکنان، تقویت کنیم.,ظرفیت بلند مدت با بازآرایی بهبود می یابد.,translation-train,0
هممم آزمایش مواد مخدر برای من ناراحت‌‌کننده نیست,من آزمایش مواد مخدر برای من اهمیتی ندارد، زیرا من از آنها استفاده نمی‌کنم.,translation-train,1
باشه خداحافظ,صبر کن!,translation-train,2
حنجره‌ها را نمی‌شود پلمپ کرد، زبانها را نمی‌شود بست این تهیه‌کننده آثار موسیقایی و سینمایی در بخش دیگری از سخنانش گفت: بنابراین من خودم به شخصه ناراحت می‌شوم وقتی‌که می‌بینم نادانی می‌آید و محل برگزاری کنسرت «شهرام ناظری» را پلمپ می‌کند؛ واقعاً از آن روز حال خوشی ندارم،,در واقع موسیقی باعث می‌شود که مفهوم و ذات اصلی اشعار حافظ به ما انتقال پیدا کند.,natural-miras,1
اگر چه در ابتدا این خبر به زندگی او صدمه می‌زند، اما کریستینا/صوفیه در نهایت خود را باز می‌یابدو برای مراقبت از الیسا و شروع به تحقیقات دربارهٔ سرنوشت پدر و مادرش می‌کند.,کریستینا/صوفیه تحقیقات درباره سرنوشت پدر و مادرش را از الیسا شروع کرد.,natural-wiki,1
به‌طور کلی در ساختمان‌ها طبقه‌های مکانیکی در شمارش شماره‌های طبقه می‌آیند کدهای برخی ساختمان‌ها این کار را الزامی می‌دانند.اما خدمات تنها با آسانسور قابل دسترسی‌اند.,به‌طور کلی در ساختمان‌ها طبقه‌های مکانیکی در شمارش شماره‌های طبقه می‌آیند کدهای برخی ساختمان‌ها این کار را الزامی می‌دانند.گزینه های زیادی برای ارائه ی خدمات در دسترس قرار دارد. ,natural-wiki,2
تابلوی مشهور لبخند ژوکوند به دلیل لبخند بسیار مرموز مونالیزا و همچنین سبک نوین نقاشی لئوناردو دا وینچی در آن زمان، به شهرت جهانی رسید.گفته شده‌است که داوینچی سفارش نقاشی این اثر را بین سال‌های ۱۵۰۳ تا ۱۵۰۶ دریافت کرد، اما آن را به موقع تحویل نداد و چند بار آن را عوض کرد.,تابلوی مشهور لبخند ژوکوند به دلیل لبخند بسیار مرموز مونالیزا و همچنین سبک نوین نقاشی لئوناردو دا وینچی در آن زمان، به شهرت جهانی رسید.گفته شده‌است که داوینچی سفارش نقاشی این اثر را بین سال‌های ۱۵۰۳ تا ۱۵۰۶ دریافت کرد، و در تحویل آن خوش قول بود.,natural-wiki,2
چرا به اینجا آمدی؟ اینجا درگیر سیل است و بسیاری از روستاهای جنوبی راهزنان را به خود جلب می کنند.,در جنوب روستاهایی وجود داشت.,translation-train,0
ارتفاع آن ۱۳۷ متر (۴۵۰ فوت) ارتفاع دارد و بلندترین سازه جهان تا زمان ساخت برج ایفل در پاریس در سال ۱۸۹۸ بود.,تا زمان ساخت برج ایفل در سال ۱۸۹۸ ، بلندترین سازه جهان با ارتفاع ۴۵۰ فوت بود.,translation-train,0
کمال خرازی در مصاحبه ای با تلويزيون جمهوری اسلامی گفت که حال هر سه نفر گروگان سابق خوب است، اما در مورد چگونگی آزاد شدن آنها توضيحی نداد.,سه نفر از گروگان ها آزاد شدند در حالی که حال آن ها وخیم گزارش شده است.,natural-voa,2
۱۴: برج گنبد قابوس، استان گلستان (۲۰۱۲),استان گلستان دارای آثار تاریخی بسیاری است که خیلی از آنها در یونسکو ثبت شده اند. یکی از آنها گند قابوس است. ,natural-wiki,0
متأسفانه ، اینها دامنه هایی هستند که دارای برچسب قیمت میلیارد دلاری متصل شده اند.,این ردیابی ها همان چیزی است که از برچسب قیمت میلیارد دلاری مرتبط با آنها ناشی می شود.,translation-train,0
این اپلیکیشن به شکلی بسیار هنرمندانه هر عکسی را به یک نقاشی هنری بسیار زیبا تبدیل می‌کند,برنامه های زیادی وجود دارند که عکس را به نقاشی تبدیل می‌کنند ,natural-miras,1
علاوه بر تأثیرات در گزینه های پس انداز خانگی، حساب های فردی ممکن است بر رابطه و تعامل بین تأمین اجتماعی و حقوق بازنشستگی های خصوصی نیز تأثیر بگذارد.,حساب های شخصی باعث کاهش تقاضای بازنشستگی های خصوصی می شود.,translation-train,1
سرانجام ، ما دو معیار هزینه خدمات جهانی ، معیار قیمت گذاری ورود و اندازه گیری هزینه اجتناب خالص در زمینه سود تحویل را مورد بحث قرار می دهیم.,اندازه گیری قیمت گذاری ورودی محبوب ترین روش برای اندازه گیری هزینه ها است.,translation-train,1
و سپس به ما ایده خوبی داد که چه اطلاعاتی برای رسیدن به اهداف خود نیاز داریم.,ما بی‌رمق بودیم و هیچ هدفی نداشتیم.,translation-train,2
این منطقه به یک نیمه شرقی ، هائه-نورماندی ، در امتداد دره سینه ، تقسیم می شود ، مشابه با مناظر ایله دو فرانسه. و Basse-Normandie ناهموارتر به غرب ، بیشتر شبیه به همسایه بریتانیا.,این منطقه دارای ۵۰ کیلومتر مربع کوه و ۲۰ کیلومتر مربع جنگل است.,translation-train,1
همچنین پدرش گاهی قطعه‌هایی زیبا و لطیف از کتاب‌های خارجی جمع می‌کرد و پس از ترجمه آن‌ها به فارسی، پروین را تشویق می‌کرد تا آن را به صورت شعر درآورد.,پدرش ترجمه کتاب های خارجی را به پروین می سپرد.,natural-wiki,2
"""گائتان سوسی"" نویسنده و فیلسوف قرن بیستم میلادی اهل کانادا بود.","""گانتان سوسی""، اهل کانادا و از فیلسوفان قرن بیستم این کشور است.",natural-wiki,0
تنها دل مشغولی او پول درآوردن است، اما این خواسته در نهایت به فنا شدن زندگی و خانواده اش می‌انجامد و سر از زندان درمی‌آورد.,زندگی او پس از تلاش برای پولدار شدن به هر طریقی به طور کلی دگرگون شد و سر از زندان در آورد.,natural-wiki,0
از ابتدا ، لاس وگاس برای خدمت به مسافران ساخته شد.,لاس وگاس برای خدمت به مسافران ساخته شده است.,translation-train,0
